DEBUG 2026-05-02 22:57:52,162 autoreload File C:\Python314\Lib\random.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,162 autoreload File C:\Python314\Lib\operator.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,162 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1776572622.3725257
DEBUG 2026-05-02 22:57:52,163 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1776572616.0098312
DEBUG 2026-05-02 22:57:52,163 autoreload File C:\Python314\Lib\asyncio\mixins.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,164 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1776572621.8731363
DEBUG 2026-05-02 22:57:52,164 autoreload File C:\Python314\Lib\email\mime\nonmultipart.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,164 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\backends\postgresql\psycopg_any.py first seen with mtime 1776572621.9785693
DEBUG 2026-05-02 22:57:52,165 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1776572622.0069306
DEBUG 2026-05-02 22:57:52,165 autoreload File C:\Python314\Lib\pprint.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,166 autoreload File C:\Python314\Lib\annotationlib.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,167 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\contrib\knox_auth_token.py first seen with mtime 1776915549.3732343
DEBUG 2026-05-02 22:57:52,167 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1777338232.3588247
DEBUG 2026-05-02 22:57:52,168 autoreload File C:\Python314\DLLs\_hashlib.pyd first seen with mtime 1764976656.0
DEBUG 2026-05-02 22:57:52,168 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1776572628.31193
DEBUG 2026-05-02 22:57:52,169 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\template\autoreload.py first seen with mtime 1776572622.286841
DEBUG 2026-05-02 22:57:52,169 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\safestring.py first seen with mtime 1776572622.3993585
DEBUG 2026-05-02 22:57:52,169 autoreload File C:\Python314\Lib\encodings\shift_jis.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,169 autoreload File C:\Python314\Lib\asyncio\transports.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,170 autoreload File C:\Python314\Lib\asyncio\queues.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,170 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1776572621.7568827
DEBUG 2026-05-02 22:57:52,170 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1776572622.1031632
DEBUG 2026-05-02 22:57:52,171 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\mail\message.py first seen with mtime 1776572621.7881076
DEBUG 2026-05-02 22:57:52,171 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1776572621.9044807
DEBUG 2026-05-02 22:57:52,171 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\certifi\__init__.py first seen with mtime 1777338232.2571533
DEBUG 2026-05-02 22:57:52,171 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\requests\cookies.py first seen with mtime 1777338232.5400336
DEBUG 2026-05-02 22:57:52,172 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1776572622.049573
DEBUG 2026-05-02 22:57:52,172 autoreload File C:\Python314\Lib\re\__init__.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,172 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1776572622.3949778
DEBUG 2026-05-02 22:57:52,173 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1776572620.2727113
DEBUG 2026-05-02 22:57:52,173 autoreload File C:\Python314\Lib\email\mime\multipart.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,173 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\pygments\plugin.py first seen with mtime 1777512186.3597443
DEBUG 2026-05-02 22:57:52,174 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1776572616.0077393
DEBUG 2026-05-02 22:57:52,174 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\authentication.py first seen with mtime 1776915549.3527265
DEBUG 2026-05-02 22:57:52,174 autoreload File C:\Python314\Lib\encodings\aliases.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,175 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\requests\certs.py first seen with mtime 1777338232.5135393
DEBUG 2026-05-02 22:57:52,175 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\backends\postgresql\introspection.py first seen with mtime 1776572621.9747226
DEBUG 2026-05-02 22:57:52,175 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\apps\__init__.py first seen with mtime 1776572615.3355076
DEBUG 2026-05-02 22:57:52,176 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1776572616.0207121
DEBUG 2026-05-02 22:57:52,176 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\contrib\rest_framework_simplejwt.py first seen with mtime 1776915549.3815074
DEBUG 2026-05-02 22:57:52,177 autoreload File C:\Python314\Lib\encodings\ascii.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,177 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\psycopg2\extensions.py first seen with mtime 1776575299.7737033
DEBUG 2026-05-02 22:57:52,178 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\api\apps.py first seen with mtime 1776912342.9588852
DEBUG 2026-05-02 22:57:52,178 autoreload File C:\Python314\Lib\types.py first seen with mtime 1764976582.0
DEBUG 2026-05-02 22:57:52,178 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1776572621.737954
DEBUG 2026-05-02 22:57:52,178 autoreload File C:\Python314\Lib\asyncio\locks.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,179 autoreload File C:\Python314\Lib\compression\__init__.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,179 autoreload File C:\Python314\Lib\encodings\cp949.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,179 autoreload File C:\Python314\Lib\encodings\cp862.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,180 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\django_barbershop\__init__.py first seen with mtime 1776572804.8606462
DEBUG 2026-05-02 22:57:52,180 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1776572616.0170882
DEBUG 2026-05-02 22:57:52,180 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\psycopg2\sql.py first seen with mtime 1776575299.7772777
DEBUG 2026-05-02 22:57:52,181 autoreload File C:\Python314\Lib\asyncio\coroutines.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,181 autoreload File C:\Python314\Lib\uuid.py first seen with mtime 1764976582.0
DEBUG 2026-05-02 22:57:52,181 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1776572622.0823622
DEBUG 2026-05-02 22:57:52,181 autoreload File C:\Python314\Lib\concurrent\__init__.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,182 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\pygments\token.py first seen with mtime 1777512186.365652
DEBUG 2026-05-02 22:57:52,182 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\backends\postgresql\creation.py first seen with mtime 1776572621.9726758
DEBUG 2026-05-02 22:57:52,182 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1776572622.4083605
DEBUG 2026-05-02 22:57:52,183 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\files\locks.py first seen with mtime 1776572621.763072
DEBUG 2026-05-02 22:57:52,183 autoreload File C:\Python314\Lib\re\_casefix.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,183 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\urllib3\__init__.py first seen with mtime 1777338230.6959138
DEBUG 2026-05-02 22:57:52,184 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1776572622.3558815
DEBUG 2026-05-02 22:57:52,184 autoreload File C:\Python314\Lib\email\_policybase.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,184 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1776572615.0860217
DEBUG 2026-05-02 22:57:52,184 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\models\utils.py first seen with mtime 1776572622.030653
DEBUG 2026-05-02 22:57:52,185 autoreload File C:\Python314\Lib\locale.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,185 autoreload File C:\Python314\Lib\encodings\euc_jis_2004.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,185 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1776572621.7444222
DEBUG 2026-05-02 22:57:52,186 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1776572620.2737336
DEBUG 2026-05-02 22:57:52,186 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\paginator.py first seen with mtime 1776572621.7169428
DEBUG 2026-05-02 22:57:52,186 autoreload File C:\Python314\Lib\encodings\iso8859_9.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,186 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\rest_framework\validators.py first seen with mtime 1776572628.0591023
DEBUG 2026-05-02 22:57:52,187 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\contrib\rest_auth.py first seen with mtime 1776915549.3756244
DEBUG 2026-05-02 22:57:52,187 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\drainage.py first seen with mtime 1776915549.3548028
DEBUG 2026-05-02 22:57:52,187 autoreload File C:\Python314\Lib\urllib\error.py first seen with mtime 1764976582.0
DEBUG 2026-05-02 22:57:52,188 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\version.py first seen with mtime 1776572622.4044757
DEBUG 2026-05-02 22:57:52,188 autoreload File C:\Python314\Lib\html\__init__.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,188 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\template\backends\base.py first seen with mtime 1776572622.3061569
DEBUG 2026-05-02 22:57:52,188 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\postgres\fields\utils.py first seen with mtime 1776572620.3047311
DEBUG 2026-05-02 22:57:52,189 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1776572628.0301535
DEBUG 2026-05-02 22:57:52,189 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1776572628.2995832
DEBUG 2026-05-02 22:57:52,189 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1776572621.8761292
DEBUG 2026-05-02 22:57:52,190 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\serializers.py first seen with mtime 1776915549.3646927
DEBUG 2026-05-02 22:57:52,190 autoreload File C:\Python314\Lib\encodings\gb18030.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,191 autoreload File C:\Python314\Lib\encodings\shift_jisx0213.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,192 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\urls\converters.py first seen with mtime 1776572622.3469756
DEBUG 2026-05-02 22:57:52,194 autoreload File C:\Python314\Lib\importlib\resources\_common.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,195 autoreload File C:\Python314\Lib\asyncio\base_events.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,195 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1776572622.377498
DEBUG 2026-05-02 22:57:52,195 autoreload File C:\Python314\Lib\encodings\cp850.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,196 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1776572628.3041985
DEBUG 2026-05-02 22:57:52,196 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\functional.py first seen with mtime 1776572622.3835247
DEBUG 2026-05-02 22:57:52,196 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1776572622.0351076
DEBUG 2026-05-02 22:57:52,197 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1776572622.4221444
DEBUG 2026-05-02 22:57:52,197 autoreload File C:\Python314\Lib\http\client.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,197 autoreload File C:\Python314\Lib\asyncio\log.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,198 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\contrib\pydantic.py first seen with mtime 1776915549.3745987
DEBUG 2026-05-02 22:57:52,198 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1776572620.263554
DEBUG 2026-05-02 22:57:52,198 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\template\exceptions.py first seen with mtime 1776572622.2983203
DEBUG 2026-05-02 22:57:52,199 autoreload File C:\Python314\Lib\encodings\cp424.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,199 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\pygments\lexers\__init__.py first seen with mtime 1777512186.3980503
DEBUG 2026-05-02 22:57:52,200 autoreload File C:\Python314\Lib\selectors.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,200 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\requests\structures.py first seen with mtime 1777338232.586814
DEBUG 2026-05-02 22:57:52,200 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\views\generic\list.py first seen with mtime 1776572622.4389155
DEBUG 2026-05-02 22:57:52,201 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\renderers.py first seen with mtime 1776915549.3636854
